"Cluster","DE_class_cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"Oligo-3_down","Oligo-3_down","GO:0005911","cell-cell junction","23/287","475/15125",0.0484210526315789,2.55180634513112,4.77916599458098,3.91479896221885e-05,0.00484130138327731,0.0044505082938909,"ANK3/DLG1/KLHL24/P2RX7/CDH19/CDH20/DLG2/SHROOM4/PKD2/PCDH9/FRMD5/OPALIN/CD99L2/GAB1/RDX/CDC42BPA/MAGI2/RAB10/SDCCAG8/KRIT1/AKAP6/STRN/SHROOM1",23,"CC"
"Oligo-3_down","Oligo-3_down","GO:0031594","neuromuscular junction","8/287","74/15125",0.108108108108108,5.69733496562765,5.63340937303118,7.76432284568401e-05,0.00720140943937192,0.00662010684737268,"ANK3/SYNGR2/DLG1/P2RX7/SPOCK1/DLG2/PSEN1/COL4A5",8,"CC"
"Oligo-3_down","Oligo-3_down","GO:0043218","compact myelin","4/287","14/15125",0.285714285714286,15.0572424091588,7.31819788098838,0.000109368656175291,0.0081151542882066,0.00746009360016723,"MAG/MAL/MBP/PLLP",4,"CC"
"Oligo-3_down","Oligo-3_down","GO:0033268","node of Ranvier","4/287","19/15125",0.210526315789474,11.0948101962223,6.12331804599203,0.000392932793480588,0.024296344396883,0.0223351272083703,"ANK3/DLG1/SPOCK1/BIN1",4,"CC"
"Oligo-3_down","Oligo-3_down","GO:0005912","adherens junction","11/287","181/15125",0.0607734806629834,3.20278360636803,4.14633409646122,0.000688527650758332,0.0335957743169904,0.030883900918442,"DLG1/KLHL24/CDH19/CDH20/DLG2/SHROOM4/FRMD5/CD99L2/RDX/RAB10/SHROOM1",11,"CC"
"Oligo-3_down","Oligo-3_down","GO:0043025","neuronal cell body","20/287","473/15125",0.0422832980972516,2.22834454258164,3.77475627164473,0.000724437182037529,0.0335957743169904,0.030883900918442,"SHTN1/KLHL24/CRYAB/P2RX7/TTLL7/WHRN/PTPRF/MAPT/DLG2/MBP/LPAR1/SLC12A2/WASHC5/PSEN1/SORCS2/UNC5C/ERMN/PDE1C/NUMA1/STRN",20,"CC"
"Oligo-3_down","Oligo-3_down","GO:0016328","lateral plasma membrane","6/287","62/15125",0.0967741935483871,5.1000337192312,4.49898074522895,0.00111708988962515,0.0460489276723258,0.0423318273963216,"ANK3/DLG1/GPSM2/SLC12A2/ERBB3/NUMA1",6,"CC"
"Oligo-3_up","Oligo-3_up","GO:0043025","neuronal cell body","52/618","473/15125",0.109936575052854,2.69059983442463,7.71013005538184,7.14594596745694e-11,3.1370702797136e-08,2.36944524184099e-08,"SLC2A3/GPM6A/FLNA/VPS13A/BAIAP2/VGF/ADCY8/GRM5/TNFRSF1B/PTPRN/GRIP1/ATP2B2/INPP5F/EPHA4/CAPN2/ASTN1/FZD3/CX3CL1/KCNIP4/CACNA1B/KCNN2/ENC1/CACNA1E/ATP1A2/SYT4/KCND3/ITGA4/OLFM1/SNAP25/HCN1/SLC12A5/GAD2/HOMER1/LRRK2/MAP2/GRIP2/PRKAA2/LRP8/BMPR2/UCHL1/CACNA1C/BRINP2/PLXDC1/NRXN1/PDE1B/SLC4A10/RTN4R/UNC5A/CRMP1/SLC1A1/CPNE5/RIN3",52,"CC"
"Oligo-3_up","Oligo-3_up","GO:0034703","cation channel complex","31/618","207/15125",0.14975845410628,3.66520488407361,7.96891580130082,3.49453404071588e-10,5.14257442594756e-08,3.88421279024933e-08,"STX1A/CACNB2/UNC80/DPP10/CACNA2D3/KCNIP4/CACNA1B/CACNA1E/KCNJ3/KCND3/SCN3A/SCN3B/TRPC3/SNAP25/SCN9A/HCN1/CACHD1/CACNB4/KCNQ3/ABCC9/KCNQ2/SCN2A/ASPH/CACNA1C/PDE4D/DPP6/CALM3/CACNA1D/GRIK1/KCNQ5/CACNA2D2",31,"CC"
"Oligo-3_up","Oligo-3_up","GO:0097060","synaptic membrane","48/618","435/15125",0.110344827586207,2.70059145184689,7.4280101528972,3.51428776260653e-10,5.14257442594756e-08,3.88421279024933e-08,"GPM6A/FARP1/CADM3/CLSTN3/UTRN/KCTD16/BAIAP2/DGKB/SLC1A2/ADCY8/GRM5/GRIP1/ATP2B2/CACNA2D3/STXBP1/SORCS3/SLC6A7/EPHA4/SYNE1/FZD3/LRFN5/KCNJ3/DNM1/KCND3/ADAM23/SNAP25/CNR1/HCN1/SLC12A5/GAD2/ERC2/GRIP2/LRP8/SNTA1/NRCAM/GNB5/PALM/SCN2A/CACNA1C/NRXN1/GABRB3/GSG1L/GRM7/GRIK1/CHRM1/TENM2/NLGN4X/CACNA2D2",48,"CC"
