"cluster","gwas","Category","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"Inhib","autism_ldscore","L2_0",0.418972048891835,0.539502704061892,0.0290349645125123,1.28768185249793,0.0693004809970229,1.97276077183738e-05,1.36167438701943e-08,4.62747395072136e-09,2.94258682278949,0.0032548250264237,0.0309208377510252
"Inhib","bmi_ldscore","L2_0",0.418972048891835,0.511568598009697,0.0128917087385882,1.2210088939412,0.0307698539143273,5.88028254227667e-13,4.3111593066801e-09,2.05216730273554e-09,2.10078354768313,0.0356599713196848,0.142639885278739
"Inhib","bp_ldscore","L2_0",0.418972048891835,0.599868939741943,0.0225872555707302,1.43176362558928,0.0539111275572503,1.81264600300649e-16,2.77031661720585e-08,5.69530328593209e-09,4.86421262946396,1.14913329072265e-06,3.13541719019525e-05
"Inhib","bp3_ldscore","L2_0",0.418972048891835,0.558747632268191,0.0147373340955507,1.33361553293605,0.0351749815638785,1.13382626483638e-19,1.10443892113316e-08,2.35052894195115e-09,4.69868250257056,2.61845143365838e-06,6.1231479679396e-05
"Inhib","EA_aud_Jun07.txt_ldscore","L2_0",0.418972048891835,0.497101994316428,0.0253096768380595,1.1864800900949,0.0604089864825175,0.00233459740708784,2.53433347866853e-09,1.94421778517919e-09,1.30352345194443,0.192396115185232,0.436480738927689
"Inhib","epilepsyAll","L2_0",0.418972048891835,0.557664950927529,0.0422509177956235,1.33103139553708,0.100844239866062,0.000239023403909055,5.79007672404874e-09,3.45796819918283e-09,1.67441583916735,0.0940489020364958,0.298883410886331
"Inhib","epilepsyFocal","L2_0",0.418972048891835,0.579020976567117,0.0922404989164797,1.38200383080114,0.220159075433439,0.0257195273884338,8.07224723314303e-09,4.0704865328366e-09,1.98311606438794,0.0473544666036131,0.184747433529325
"Inhib","epilepsyGGE","L2_0",0.418972048891835,0.576023795343824,0.0261773992664529,1.37485017644348,0.062480061225304,1.79674655281901e-11,4.4140760394476e-08,1.09625859016e-08,4.02649163169006,5.66152533715353e-05,0.000956168723608152
"Inhib","GSCAN_AgeSmk_2022_ldscore","L2_0",0.418972048891835,0.479775063167281,0.0190099617923771,1.14512427365087,0.0453728639957194,0.00117248003967219,1.31483466275995e-11,7.63409059929654e-10,0.0172231996156964,0.986258554316248,0.992790067920992
"Inhib","GSCAN_CigDay_2022_ldscore","L2_0",0.418972048891835,0.53099342636683,0.0187214457942789,1.26737195899175,0.0446842357235916,2.4419854579281e-08,4.78566879791897e-09,1.61695452445815e-09,2.95968051391097,0.00307958225609354,0.0301997743823366
"Inhib","GSCAN_DrnkWk_2022_ldscore","L2_0",0.418972048891835,0.514339330069386,0.0168343417182245,1.22762206077898,0.040180106913458,7.10658080349171e-09,8.51927443198004e-10,5.53004492512138e-10,1.54054343994195,0.123427942601714,0.338036887846135
"Inhib","GSCAN_SmkCes_2022_ldscore","L2_0",0.418972048891835,0.500539777378872,0.0131569115565,1.19468537030759,0.0314028384263331,1.57697589556959e-09,2.30623358865894e-09,8.60607442216133e-10,2.67977416360728,0.00736718453873221,0.0566680835518359
"Inhib","GSCAN_SmkInit_2022_ldscore","L2_0",0.418972048891835,0.528049480239441,0.0127183850405244,1.26034536584508,0.0303561659403391,1.98943158865571e-15,2.55151126617936e-09,6.2219974407871e-10,4.10079124985399,4.11739861727142e-05,0.000736287752735595
"Inhib","height_ldscore","L2_0",0.418972048891835,0.498232671351894,0.0147404006295819,1.1891787833334,0.0351823007491065,1.63247782163371e-07,-9.54268157742036e-09,6.59004583595192e-09,-1.44804479588903,0.147604522912155,0.380269279366908
"Inhib","insomnia","L2_0",0.418972048891835,0.521271898549005,0.0179065989084273,1.24416867408637,0.0427393640119658,5.82072248977684e-09,1.8329896681514e-09,7.62984404378073e-10,2.40239467233346,0.016288124446478,0.0821418040592418
"Inhib","intelligence","L2_0",0.418972048891835,0.547641671120455,0.0122215877184697,1.30710789077445,0.0291704130401906,1.28971642253544e-19,9.88936917058247e-09,2.03925097309873e-09,4.84951058062028,1.23766468034023e-06,3.13541719019525e-05
