Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000109846,CRYAB,30,-2.5576,467,1.91178,93,-0.8713,74,-1.4625,101,-0.7403,271,1.05305
ENSG00000150764,DIXDC1,30,-0.6641,90,1.14674,48,0.08672,52,0.27334,42,-0.1189,23,-1.1649
ENSG00000150768,DLAT,73,0.59277,29,-0.8566,37,-0.4875,58,0.29867,34,-0.6224,55,0.13687
ENSG00000150779,TIMM8B,30,-1.4962,69,-0.2207,50,-0.7056,73,-0.1798,90,0.21079,127,0.95783
ENSG00000204370,SDHD,30,-0.5811,61,0.57815,30,-0.5621,43,-0.0131,49,0.20958,45,0.06391
ENSG00000150787,PTS,30,-1.1580,43,-0.6066,86,0.51564,91,0.87584,78,0.34948,29,-1.3057
ENSG00000149294,NCAM1,232,-0.6083,168,-1.1085,409,0.30144,450,0.65409,282,-0.3025,312,-0.1606
ENSG00000109906,ZBTB16,30,-1.5481,129,0.76341,106,0.42122,75,-0.1939,77,-0.1032,86,0.08190
ENSG00000182985,CADM1,39,-1.7831,57,-1.2365,64,-1.0669,199,1.14672,173,0.52276,102,-0.3742
ENSG00000109917,ZPR1,30,-0.5533,20,-1.1852,78,1.02320,48,0.27383,38,-0.1736,36,-0.2817
ENSG00000160584,SIK3,30,-1.5983,70,-0.3100,125,0.65234,116,0.74916,65,-0.4139,62,-0.5621
ENSG00000168092,PAFAH1B2,89,-0.8561,78,-1.0607,226,0.65035,207,0.71222,160,0.06998,102,-0.7114
ENSG00000149591,TAGLN,239,-0.0871,1900,5.35870,17,-3.9993,16,-4.4686,30,-3.1913,16,-4.2760
ENSG00000186318,BACE1,30,-1.3277,90,0.40478,109,0.71880,88,0.50310,36,-1.0569,53,-0.4952
ENSG00000137726,FXYD6,764,0.44706,195,-1.6879,747,0.41067,747,0.57905,423,-0.5097,436,-0.5184
ENSG00000149575,SCN2B,30,-2.1243,56,-1.1816,147,0.32795,185,1.05642,88,-0.5078,105,-0.2502
ENSG00000110344,UBE4A,30,-0.9579,44,-0.3727,50,-0.1547,85,1.04576,38,-0.5902,41,-0.5220
ENSG00000167283,ATP5MG,1029,1.31960,403,-0.2824,357,-0.4731,422,-0.2722,518,0.12160,376,-0.4409
ENSG00000118058,KMT2A,30,-1.4400,103,0.50601,30,-1.4394,106,0.78323,71,-0.1078,67,-0.2409
ENSG00000149582,TMEM25,30,-1.3342,48,-0.6114,61,-0.2349,120,1.36945,46,-0.6837,46,-0.7496
ENSG00000095139,ARCN1,30,-0.9808,79,0.56943,68,0.30338,72,0.58555,58,0.06465,27,-1.2682
ENSG00000110367,DDX6,30,-2.8281,267,0.52616,188,-0.0530,230,0.37463,186,-0.0710,195,0.00632
ENSG00000118181,RPS25,657,-0.2861,1628,1.26058,509,-0.6845,479,-0.9684,741,-0.0921,1045,0.55672
ENSG00000196655,TRAPPC4,30,-0.3188,33,-0.1761,17,-1.1985,49,0.69337,41,0.16802,31,-0.3086
ENSG00000149428,HYOU1,142,0.81981,39,-1.2299,137,0.75821,105,0.42664,59,-0.6087,45,-1.1166
ENSG00000172375,C2CD2L,30,-1.6161,35,-1.4013,97,0.20792,149,1.46279,83,-0.0492,39,-1.3279
ENSG00000154096,THY1,350,-1.5844,241,-2.1379,1411,0.62062,1647,1.37579,736,-0.4440,535,-1.0365
ENSG00000110400,NECTIN1,30,-0.9650,0,-6.3231,75,0.47951,98,1.44989,41,-0.4969,33,-0.9206
ENSG00000196914,ARHGEF12,30,-2.8248,161,-0.2990,176,-0.1620,227,0.35256,276,0.58647,212,0.16216
ENSG00000109929,SC5D,47,-1.3244,98,-0.1944,103,-0.1189,164,0.94878,52,-1.1672,103,-0.1311
ENSG00000137642,SORL1,54,-2.2121,142,-0.7484,381,0.86410,331,0.90643,127,-0.9230,178,-0.4448
ENSG00000255248,MIR100HG,30,-1.1005,67,0.16743,69,0.19485,55,-0.2007,77,0.39039,69,0.24318
ENSG00000109971,HSPA8,487,-0.6668,547,-0.4838,743,0.00331,982,0.66145,675,-0.1502,636,-0.2771
ENSG00000023171,GRAMD1B,30,-1.4662,38,-1.1183,160,1.24458,97,0.51817,74,-0.0835,52,-0.6841
ENSG00000166257,SCN3B,473,-0.1969,50,-3.5668,759,0.58307,854,1.18968,467,-0.2157,249,-1.3071
ENSG00000154144,TBRG1,364,2.22858,27,-2.1306,99,-0.1585,99,-0.2000,62,-0.8759,66,-0.8713
ENSG00000154146,NRGN,68,-4.5446,303,-2.3597,2097,0.65301,2004,0.83277,1965,0.54180,1159,-0.3645
ENSG00000165478,HEPACAM,30,-1.8148,99,0.01508,59,-0.7994,60,-0.9403,82,-0.2887,215,1.73239
ENSG00000149557,FEZ1,30,-2.4460,157,0.07697,193,0.41139,152,0.02681,136,-0.1553,189,0.44584
ENSG00000149547,EI24,79,-0.2500,110,0.28521,91,-0.0280,117,0.54527,76,-0.3184,63,-0.6890
ENSG00000149571,KIRREL3,56,0.38063,8,-2.4670,53,0.30686,64,0.86882,41,-0.1160,24,-1.0224
ENSG00000134909,ARHGAP32,63,-0.8445,48,-1.2390,105,-0.0426,159,0.94685,106,-0.0301,85,-0.4142
ENSG00000084234,APLP2,370,0.05211,483,0.49595,317,-0.1961,467,0.61976,249,-0.5790,202,-0.9956
ENSG00000196323,ZBTB44,30,-1.4014,85,0.21222,86,0.23241,99,0.66464,74,-0.0044,49,-0.7255
ENSG00000120451,SNX19,240,2.31402,99,0.59098,23,-1.6768,63,-0.1909,21,-1.8449,25,-1.6700
ENSG00000182667,NTM,30,-2.5244,114,-0.5241,181,0.22081,192,0.44074,149,-0.0984,187,0.31913
ENSG00000183715,OPCML,30,-2.4370,66,-1.2611,176,0.27414,241,1.22499,117,-0.3910,114,-0.4738
ENSG00000166086,JAM3,30,-0.7422,177,2.45163,23,-1.1107,45,-0.1459,16,-1.6931,26,-1.0510
ENSG00000151502,VPS26B,55,-1.1508,52,-1.2424,134,0.24241,166,0.87070,137,0.28176,82,-0.6046
ENSG00000151500,THYN1,32,-0.7927,4,-3.6368,102,1.09000,64,0.41175,58,0.11413,47,-0.2477
ENSG00000109956,B3GAT1,30,-2.5700,104,-0.7111,187,0.21925,158,-0.0628,290,0.97215,192,0.30399
ENSG00000120645,IQSEC3,30,-0.9613,24,-1.2706,120,1.33303,47,-0.3287,16,-1.8454,83,0.80232
ENSG00000060237,WNK1,30,-2.5388,229,0.59413,101,-0.7284,185,0.32897,105,-0.6693,210,0.52543
ENSG00000082805,ERC1,69,0.28435,66,0.20961,81,0.55956,53,-0.1815,30,-1.0425,58,0.00507
