Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000048649,RSF1,16,-4.0924,336,0.54768,127,-1.1916,335,0.82880
ENSG00000151366,NDUFC2,16,-4.0348,260,0.12406,172,-0.6161,328,0.89412
ENSG00000073921,PICALM,360,0.66715,268,0.20106,101,-1.4780,268,0.28800
ENSG00000137710,RDX,16,-4.3270,204,-0.6739,78,-2.1973,526,2.17562
ENSG00000109846,CRYAB,16,-6.6576,392,-2.2058,449,-1.9964,2939,3.11121
ENSG00000149294,NCAM1,16,-5.2364,909,0.98404,535,-0.0806,532,-0.1265
ENSG00000160584,SIK3,16,-5.3477,2208,3.92110,85,-3.1402,208,-2.1443
ENSG00000168092,PAFAH1B2,16,-4.1965,440,0.96768,134,-1.2200,323,0.46927
ENSG00000137726,FXYD6,16,-4.3679,835,2.41588,332,0.14621,103,-2.1824
ENSG00000167283,ATP5MG,16,-4.4384,313,-0.0515,307,-0.0896,411,0.70789
ENSG00000019144,PHLDB1,16,-4.0249,204,-0.3129,142,-0.9291,368,1.37584
ENSG00000110367,DDX6,16,-3.7772,448,1.73310,223,0.16204,120,-1.1751
ENSG00000118181,RPS25,1019,-1.0004,306,-2.9618,928,-1.2519,3463,2.31029
ENSG00000154096,THY1,16,-5.5739,2610,4.00250,482,-0.6745,39,-4.9761
ENSG00000137642,SORL1,16,-3.7182,472,2.00481,226,0.26703,88,-1.6728
ENSG00000109971,HSPA8,16,-3.9698,347,0.79178,369,0.92513,162,-0.8362
ENSG00000166257,SCN3B,16,-4.8121,1507,3.83508,338,-0.3766,11,-6.0243
ENSG00000154146,NRGN,16,-6.6519,5883,4.64992,612,-1.5052,99,-4.7095
ENSG00000165478,HEPACAM,16,-4.0268,204,-0.3151,286,0.31115,297,0.57603
ENSG00000149557,FEZ1,16,-4.6019,304,-0.3078,232,-0.7755,539,1.30665
ENSG00000149547,EI24,379,0.93165,375,1.10897,122,-1.0028,148,-0.8908
ENSG00000084234,APLP2,16,-4.1004,396,0.88051,235,-0.1535,255,-0.0043
ENSG00000182667,NTM,16,-4.4595,527,0.96739,383,0.30054,276,-0.4111
ENSG00000166086,JAM3,16,-3.6525,204,0.15637,40,-2.5178,296,1.55204
ENSG00000109956,B3GAT1,16,-4.3471,317,0.08616,324,0.13001,356,0.45470
ENSG00000060237,WNK1,765,0.75256,306,-0.8221,178,-1.6934,666,0.94156
ENSG00000110799,VWF,16,-5.2429,213,-1.6334,124,-2.4639,1091,2.97895
ENSG00000010278,CD9,16,-3.3522,204,0.56280,114,-0.5208,180,0.46668
ENSG00000111640,GAPDH,255,-3.6615,2600,-0.1977,4118,0.69225,3096,0.17714
ENSG00000111642,CHD4,16,-3.5214,239,0.65385,165,-0.0630,179,0.11581
ENSG00000089693,MLF2,16,-4.5994,993,2.46628,250,-0.6452,185,-1.4362
ENSG00000159335,PTMS,16,-4.8558,817,1.35605,434,0.01952,337,-0.5793
ENSG00000111669,TPI1,16,-5.6383,736,-0.0061,936,0.45677,821,0.28922
ENSG00000111674,ENO2,16,-4.6760,1027,2.39566,368,-0.0588,153,-1.8722
ENSG00000111676,ATN1,16,-3.5939,379,1.61822,263,0.75142,80,-1.6988
