BrNum,perm,neighbor,Z,scale,reference,id
Br5415,3,OPC.3,-5.192451644371099,500,Astro.1,NA
Br5415,1,OPC.4,4.670036380777816,500,Astro.1,NA
Br5415,2,OPC.4,3.4272689822344957,500,Astro.1,NA
Br5415,3,OPC.4,3.6559519803930622,500,Astro.1,NA
Br5415,1,OPC.5,5.848416852996046,500,Astro.1,NA
Br5415,2,OPC.5,6.552470746952358,500,Astro.1,NA
Br5415,3,OPC.5,4.283709039140654,500,Astro.1,NA
Br5415,1,Oligo.1,7.1528528433220355,500,Astro.1,NA
Br5415,2,Oligo.1,6.278166573612571,500,Astro.1,NA
Br5415,3,Oligo.1,6.895893638982528,500,Astro.1,NA
Br5415,1,Oligo.2,-0.6219565545916113,500,Astro.1,NA
Br5415,2,Oligo.2,-0.7017118945248106,500,Astro.1,NA
Br5415,3,Oligo.2,-0.7017118945248106,500,Astro.1,NA
Br5415,1,Oligo.3,15.527271810674208,500,Astro.1,NA
Br5415,2,Oligo.3,15.323265816590732,500,Astro.1,NA
Br5415,3,Oligo.3,15.527271810674208,500,Astro.1,NA
Br5415,1,Oligo.4,17.838432112193654,500,Astro.1,NA
Br5415,2,Oligo.4,17.838432112193654,500,Astro.1,NA
Br5415,3,Oligo.4,17.929882999861995,500,Astro.1,NA
Br5415,1,Oligo.5,-9.064822598880484,500,Astro.1,NA
Br5415,2,Oligo.5,-8.481673994861193,500,Astro.1,NA
Br5415,3,Oligo.5,-7.275925069476338,500,Astro.1,NA
Br5415,1,Vasc.Endo,15.403411395505836,500,Astro.1,NA
Br5415,2,Vasc.Endo,14.774820061529732,500,Astro.1,NA
Br5415,3,Vasc.Endo,14.952309553405556,500,Astro.1,NA
Br5415,1,Vasc.PC,8.503203244488907,500,Astro.1,NA
Br5415,2,Vasc.PC,8.503203244488907,500,Astro.1,NA
Br5415,3,Vasc.PC,8.859855506873927,500,Astro.1,NA
Br5415,1,Vasc.VLMC,-11.569973861200877,500,Astro.1,NA
Br5415,2,Vasc.VLMC,-12.132675815652089,500,Astro.1,NA
Br5415,3,Vasc.VLMC,-12.021980728406959,500,Astro.1,NA
Br5415,1,Excit.L2,-3.9507079302427894,500,Astro.1,NA
Br5415,2,Excit.L2,-3.400176157011091,500,Astro.1,NA
Br5415,3,Excit.L2,-3.462643142693884,500,Astro.1,NA
Br5415,1,Excit.L2_5.1,-7.144065977801766,500,Astro.1,NA
Br5415,2,Excit.L2_5.1,-7.144065977801766,500,Astro.1,NA
Br5415,3,Excit.L2_5.1,-6.600518975670369,500,Astro.1,NA
Br5415,1,Excit.L2_5.2,-9.54643624366095,500,Astro.1,NA
Br5415,2,Excit.L2_5.2,-9.509291860538065,500,Astro.1,NA
Br5415,3,Excit.L2_5.2,-9.133771016386707,500,Astro.1,NA
Br5415,1,Excit.L5.1,-14.610899781482416,500,Astro.1,NA
Br5415,2,Excit.L5.1,-14.076111401666225,500,Astro.1,NA
Br5415,3,Excit.L5.1,-14.455135413047584,500,Astro.1,NA
Br5415,1,Excit.L5.2,3.4000273187324836,500,Astro.1,NA
Br5415,2,Excit.L5.2,2.944678930267022,500,Astro.1,NA
Br5415,3,Excit.L5.2,2.2402750542929657,500,Astro.1,NA
Br5415,1,Excit.L6_CT,6.6677398711717455,500,Astro.1,NA
Br5415,2,Excit.L6_CT,6.6677398711717455,500,Astro.1,NA
Br5415,3,Excit.L6_CT,6.6677398711717455,500,Astro.1,NA
Br5415,1,Excit.L6b,-3.5929971289021054,500,Astro.1,NA
Br5415,2,Excit.L6b,-2.161071291676003,500,Astro.1,NA
Br5415,3,Excit.L6b,-2.612671282916537,500,Astro.1,NA
Br5415,1,Inhib.Chandelier,3.7887667891989794,500,Astro.1,NA
Br5415,2,Inhib.Chandelier,3.7887667891989794,500,Astro.1,NA
Br5415,3,Inhib.Chandelier,3.3863050662805105,500,Astro.1,NA
Br5415,1,Inhib.Lamp5_Lhx6,-0.8826773977407979,500,Astro.1,NA
Br5415,2,Inhib.Lamp5_Lhx6,1.2147315858781078,500,Astro.1,NA
Br5415,3,Inhib.Lamp5_Lhx6,-0.49235227274121773,500,Astro.1,NA
Br5415,1,Inhib.Pax6,-6.619960373844713,500,Astro.1,NA
Br5415,2,Inhib.Pax6,-5.984499818678501,500,Astro.1,NA
Br5415,3,Inhib.Pax6,-7.434412151234026,500,Astro.1,NA
Br5415,1,Inhib.Pvalb,-12.498862561944318,500,Astro.1,NA
Br5415,2,Inhib.Pvalb,-12.966132413384715,500,Astro.1,NA
Br5415,3,Inhib.Pvalb,-12.329149681102928,500,Astro.1,NA
Br5415,1,Inhib.Sst,-7.243826991461386,500,Astro.1,NA
Br5415,2,Inhib.Sst,-7.511208075436071,500,Astro.1,NA
Br5415,3,Inhib.Sst,-7.405113028768551,500,Astro.1,NA
Br5415,1,Inhib.Vip,8.246693629510418,500,Astro.1,NA
Br5415,2,Inhib.Vip,7.81531818602635,500,Astro.1,NA
Br5415,3,Inhib.Vip,8.246693629510418,500,Astro.1,NA
Br5415,1,Astro.1,3.0856216987442893,1000,Astro.1,NA
Br5415,2,Astro.1,4.481467039380773,1000,Astro.1,NA
Br5415,3,Astro.1,2.6972313839734494,1000,Astro.1,NA
Br5415,1,Astro.2,2.4294589227085925,1000,Astro.1,NA
Br5415,2,Astro.2,1.7549136191644699,1000,Astro.1,NA
Br5415,3,Astro.2,1.0125640190285863,1000,Astro.1,NA
Br5415,1,Astro.3,0.6553357371902501,1000,Astro.1,NA
Br5415,2,Astro.3,1.2565994114591699,1000,Astro.1,NA
Br5415,3,Astro.3,-0.047567750577339855,1000,Astro.1,NA
Br5415,1,Astro.4,-3.4950948269207807,1000,Astro.1,NA
Br5415,2,Astro.4,-4.180808858931012,1000,Astro.1,NA
Br5415,3,Astro.4,-3.056723900954696,1000,Astro.1,NA
Br5415,1,Astro.5,0.42849605257494966,1000,Astro.1,NA
Br5415,2,Astro.5,-0.23481779254897245,1000,Astro.1,NA
Br5415,3,Astro.5,-0.23481779254897245,1000,Astro.1,NA
